"event","experiment time","system time","system time text"
"START",0.000000000E0,1747880511.882,"2025-05-22 11:21:51.882 UTC+09:00"
"PAUSE",1.580517843E1,1747880527.687,"2025-05-22 11:22:07.687 UTC+09:00"
