"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.054155790E-1,-2.216982365E0,-1.556925178E0,1.927262306E0,3.324660405E0
3.104155790E-1,-2.400199652E0,-1.619632483E0,2.059774399E0,3.553426279E0
3.154155790E-1,-2.444960594E0,-1.761408925E0,2.147328377E0,3.700190923E0
3.204155790E-1,-2.417682648E0,-1.893392444E0,2.117186546E0,3.729960215E0
3.254155790E-1,-2.392709732E0,-2.066174746E0,1.996040344E0,3.738758483E0
3.304155790E-1,-2.410703182E0,-2.265511990E0,1.787031174E0,3.759988673E0
3.354155790E-1,-2.479380608E0,-2.498696327E0,1.528893471E0,3.837750223E0
3.404155790E-1,-2.586637497E0,-2.669206858E0,1.153441429E0,3.891758718E0
3.454155790E-1,-2.638360500E0,-2.745769501E0,5.659341812E-1,3.849737365E0
3.504155790E-1,-2.680784702E0,-2.789311647E0,-5.678367615E-2,3.869120116E0
3.554155790E-1,-2.761548519E0,-2.745069265E0,-7.046308517E-1,3.957026678E0
3.604155790E-1,-2.758895874E0,-2.603255749E0,-1.278294086E0,4.002809352E0
3.654155790E-1,-2.599991322E0,-2.337421894E0,-1.651931763E0,3.866830037E0
3.704155790E-1,-2.554624557E0,-2.070869923E0,-2.301134109E0,4.013704904E0
3.754155790E-1,-2.581087828E0,-1.804521441E0,-3.095747948E0,4.416103187E0
3.804155790E-1,-2.712922573E0,-1.071011305E0,-3.968137264E0,4.924746435E0
3.854155790E-1,-2.754251957E0,-8.037418127E-2,-4.742335320E0,5.484715866E0
3.904155790E-1,-2.768407822E0,8.762304783E-1,-5.004913330E0,5.786278524E0
3.954155790E-1,-2.933185577E0,1.634607434E0,-4.824531555E0,5.878062931E0
4.004155790E-1,-3.102758646E0,2.315160036E0,-4.955877304E0,6.288703925E0
4.054155790E-1,-3.145232439E0,2.144516945E0,-5.935905457E0,7.051695797E0
4.104155790E-1,-3.131577969E0,6.780274510E-1,-7.837646484E0,8.467302062E0
4.154155790E-1,-2.721426964E0,-6.569165587E-1,-9.348403931E0,9.758604415E0
4.204155790E-1,-1.984292984E0,-1.687213898E0,-9.193435669E0,9.555279629E0
4.254155790E-1,-9.861035347E-1,-2.600807667E0,-7.644257545E0,8.134572768E0
4.304155790E-1,-8.019924164E-2,-3.075226307E0,-5.953838348E0,6.701614719E0
4.354155790E-1,5.928192139E-1,-2.848738670E0,-4.890226364E0,5.690435882E0
4.404155790E-1,9.306321144E-1,-2.024322033E0,-4.255365372E0,4.803341574E0
4.454155790E-1,9.605665207E-1,-9.365713000E-1,-3.535491705E0,3.781475299E0
4.504155790E-1,5.027322769E-1,3.097838759E-1,-2.633489609E0,2.698883716E0
4.554155790E-1,-6.063480377E-1,1.626361609E0,-1.387984276E0,2.222433435E0
4.604155790E-1,-1.350989103E0,2.009753704E0,-7.923145294E-1,2.547948944E0
4.654155790E-1,-1.040988922E0,1.307209969E0,-7.416768074E-1,1.828261558E0
4.704155790E-1,-5.475234985E-2,1.652916074E-1,-6.698198318E-1,6.920821790E-1
4.754155790E-1,1.589865208E0,-7.153197527E-1,-1.909389496E-1,1.753799136E0
4.804155790E-1,3.648380756E0,-6.561130285E-1,8.172345161E-1,3.795923959E0
4.854155790E-1,5.856146336E0,2.393379807E-2,1.679213047E0,6.092190016E0
4.904155790E-1,7.748816967E0,7.900754213E-1,1.969437599E0,8.034118994E0
4.954155790E-1,8.994515419E0,1.325393319E0,1.608160973E0,9.232776223E0
5.004155790E-1,9.749851227E0,1.571814299E0,9.331173897E-1,9.919723141E0
