"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.027414770E-1,1.513757348E0,-1.167504072E0,-1.528988361E0,2.447924116E0
3.077414770E-1,1.310436845E0,-1.148476362E0,-1.415847778E0,2.245187656E0
3.127414770E-1,1.130456090E0,-1.165000439E0,-1.353209496E0,2.113370042E0
3.177414770E-1,9.857958555E-1,-1.110151529E0,-1.421080112E0,2.055163880E0
3.227414770E-1,8.208643794E-1,-1.000458241E0,-1.462779045E0,1.953063633E0
3.277414770E-1,6.416148543E-1,-9.151182175E-1,-1.516227245E0,1.883628422E0
3.327414770E-1,5.018559694E-1,-8.971188068E-1,-1.481968403E0,1.803583077E0
3.377414770E-1,4.608741403E-1,-9.445309639E-1,-1.369553566E0,1.726331569E0
3.427414770E-1,3.871198297E-1,-1.009959698E0,-1.188354492E0,1.606881064E0
3.477414770E-1,2.318479121E-1,-9.156491756E-1,-1.020315170E0,1.390399192E0
3.527414770E-1,1.485553831E-1,-7.817885876E-1,-9.082255363E-1,1.207532907E0
3.577414770E-1,7.025768608E-2,-6.568250656E-1,-8.472046852E-1,1.074295624E0
3.627414770E-1,-3.624036908E-2,-5.597045422E-1,-6.836061478E-1,8.842510414E-1
3.677414770E-1,-1.513891071E-1,-5.254285336E-1,-4.872970581E-1,7.324289921E-1
3.727414770E-1,-2.334145159E-1,-5.425064564E-1,-3.586158752E-1,6.909420652E-1
3.777414770E-1,-3.300030828E-1,-5.571804047E-1,-2.825527191E-1,7.065324317E-1
3.827414770E-1,-4.314233661E-1,-4.599816799E-1,-2.580270767E-1,6.813862627E-1
3.877414770E-1,-5.339931846E-1,-3.278422356E-1,-3.272132874E-1,7.068930527E-1
3.927414770E-1,-6.034153700E-1,-2.133409977E-1,-3.756046295E-1,7.420938807E-1
3.977414770E-1,-6.796587110E-1,-1.581246853E-1,-4.646968842E-1,8.383809239E-1
4.027414770E-1,-7.298266888E-1,-2.397987843E-1,-5.257015228E-1,9.308665552E-1
4.077414770E-1,-7.756335735E-1,-3.898200989E-1,-5.724554062E-1,1.039842460E0
4.127414770E-1,-7.732187510E-1,-5.656363964E-1,-5.345754623E-1,1.097079165E0
4.177414770E-1,-7.554578185E-1,-6.711966991E-1,-4.422302246E-1,1.103081636E0
4.227414770E-1,-7.546778321E-1,-6.851673126E-1,-3.187665939E-1,1.067991113E0
4.277414770E-1,-7.775348425E-1,-5.962624550E-1,-2.281284332E-1,1.006047677E0
4.327414770E-1,-7.824233770E-1,-3.934569359E-1,-1.551733017E-1,8.894231023E-1
4.377414770E-1,-8.236475587E-1,-1.638424397E-1,3.252029419E-3,8.397917728E-1
4.427414770E-1,-9.321562648E-1,-1.585721970E-3,3.067741394E-1,9.813399967E-1
4.477414770E-1,-1.040031195E0,9.772610664E-2,6.733789444E-1,1.242841293E0
4.527414770E-1,-1.181973338E0,2.711961269E-1,9.453802109E-1,1.537644970E0
4.577414770E-1,-1.527693152E0,4.989132881E-1,1.059047699E0,1.924666949E0
4.627414770E-1,-1.936424971E0,7.241399288E-1,1.099564552E0,2.341615363E0
4.677414770E-1,-2.231176615E0,9.856767654E-1,1.035192490E0,2.649779474E0
4.727414770E-1,-2.370938301E0,1.215445280E0,9.015951157E-1,2.812744107E0
4.777414770E-1,-2.381723881E0,1.359448433E0,6.276578903E-1,2.813301106E0
4.827414770E-1,-2.381777287E0,1.400407314E0,3.017663956E-1,2.779400411E0
4.877414770E-1,-2.318814993E0,1.346598387E0,6.684970856E-2,2.682293621E0
4.927414770E-1,-2.227526188E0,1.249556065E0,-1.481246948E-1,2.558359670E0
4.977414770E-1,-2.100743294E0,1.124937296E0,-3.671503067E-1,2.411100507E0
5.027414770E-1,-2.008953094E0,9.968471527E-1,-6.100692749E-1,2.324173251E0
5.077414770E-1,-1.929504633E0,8.764703274E-1,-8.732891083E-1,2.292121775E0
5.127414770E-1,-1.895437956E0,7.204122543E-1,-1.104278088E0,2.308919435E0
5.177414770E-1,-1.817123890E0,5.294232368E-1,-1.273583412E0,2.281280978E0
5.227414770E-1,-1.724887371E0,3.684806824E-1,-1.378915787E0,2.238844167E0
