"event","experiment time","system time","system time text"
"START",0.000000000E0,1747880603.374,"2025-05-22 11:23:23.374 UTC+09:00"
"PAUSE",1.268252713E1,1747880616.056,"2025-05-22 11:23:36.056 UTC+09:00"
