"event","experiment time","system time","system time text"
"START",0.000000000E0,1747882304.534,"2025-05-22 11:51:44.534 UTC+09:00"
"PAUSE",7.916016663E0,1747882312.450,"2025-05-22 11:51:52.450 UTC+09:00"
