"event","experiment time","system time","system time text"
"START",0.000000000E0,1747880634.251,"2025-05-22 11:23:54.251 UTC+09:00"
"PAUSE",1.688954968E1,1747880651.140,"2025-05-22 11:24:11.140 UTC+09:00"
