"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.009221960E-1,6.770876646E-1,-3.432006836E-1,-4.364933968E-1,8.756488453E-1
3.059221960E-1,6.372699738E-1,-2.105417252E-1,-4.392180443E-1,8.020930918E-1
3.109221960E-1,5.687985420E-1,-8.613348007E-2,-4.396014214E-1,7.240166900E-1
3.159221960E-1,4.834184945E-1,1.156568527E-2,-4.377999306E-1,6.523005328E-1
3.209221960E-1,2.491320074E-1,1.547880173E-1,-2.599148750E-1,3.918951769E-1
3.259221960E-1,2.640217543E-3,2.888641357E-1,-1.737728119E-1,3.371148911E-1
3.309221960E-1,-2.006720603E-1,3.280830383E-1,-1.723132133E-1,4.214256747E-1
3.359221960E-1,-3.663975596E-1,3.485713005E-1,-1.718654633E-1,5.341225147E-1
3.409221960E-1,-4.573008120E-1,3.834934235E-1,-1.935410500E-1,6.274148361E-1
3.459221960E-1,-5.015935898E-1,4.287681580E-1,-2.712488174E-1,7.134522994E-1
3.509221960E-1,-4.862431884E-1,3.952202797E-1,-3.591198921E-1,7.222178374E-1
3.559221960E-1,-4.423556030E-1,3.270044327E-1,-4.369239807E-1,7.025047640E-1
3.609221960E-1,-3.576128781E-1,2.486710548E-1,-5.338544846E-1,6.890028119E-1
3.659221960E-1,-2.786860764E-1,1.540970802E-1,-6.062855721E-1,6.848313911E-1
3.709221960E-1,-2.130998969E-1,6.108379364E-2,-6.651034355E-1,7.010744439E-1
3.759221960E-1,-1.689569950E-1,2.978324890E-3,-6.666207314E-1,6.877052683E-1
3.809221960E-1,-1.301776767E-1,-2.704286575E-2,-6.246123314E-1,6.386063800E-1
3.859221960E-1,-7.561174035E-2,-6.295537949E-2,-4.934649467E-1,5.031780686E-1
3.909221960E-1,3.804147243E-3,-1.292586327E-1,-2.787880898E-1,3.073191576E-1
3.959221960E-1,9.984812140E-2,-2.090764046E-1,-4.013299942E-2,2.351451635E-1
4.009221960E-1,1.881859899E-1,-2.769718170E-1,1.964435577E-1,3.882234222E-1
4.059221960E-1,2.941944003E-1,-3.703403473E-1,3.543119431E-1,5.909646952E-1
4.109221960E-1,4.274244905E-1,-4.990296364E-1,5.361776352E-1,8.480617486E-1
4.159221960E-1,5.502794981E-1,-6.319756508E-1,7.304620743E-1,1.111654439E0
4.209221960E-1,6.889607906E-1,-7.677049637E-1,8.561191559E-1,1.340514040E0
4.259221960E-1,7.960514426E-1,-8.676762581E-1,9.228601456E-1,1.496071802E0
4.309221960E-1,8.692725897E-1,-8.988757133E-1,9.863939285E-1,1.592666119E0
4.359221960E-1,9.306742549E-1,-9.186034203E-1,9.840326309E-1,1.636553400E0
4.409221960E-1,9.677449465E-1,-9.120564461E-1,9.304618835E-1,1.623002329E0
4.459221960E-1,9.666742086E-1,-8.954057693E-1,8.696336746E-1,1.578756867E0
4.509221960E-1,1.003632545E0,-8.629126549E-1,8.489084244E-1,1.572431890E0
4.559221960E-1,1.228220224E0,-8.473486900E-1,6.746959686E-1,1.637601714E0
4.609221960E-1,1.115489244E0,-9.259586334E-1,5.373096466E-1,1.546097442E0
4.659221960E-1,9.869781733E-1,-1.020740509E0,5.651874542E-1,1.528225755E0
4.709221960E-1,8.986426592E-1,-1.042693615E0,6.844816208E-1,1.537297529E0
4.759221960E-1,8.860875964E-1,-9.930977821E-1,7.809152603E-1,1.543121213E0
4.809221960E-1,9.609419107E-1,-8.863930702E-1,7.432222366E-1,1.503822238E0
4.859221960E-1,1.132219791E0,-8.412957191E-1,5.834636688E-1,1.526476333E0
4.909221960E-1,1.303223014E0,-8.393821716E-1,3.780717850E-1,1.595584823E0
4.959221960E-1,1.401044846E0,-8.300914764E-1,2.078123093E-1,1.641695610E0
5.009221960E-1,1.491533518E0,-8.955321312E-1,1.675758362E-1,1.747779075E0
5.059221960E-1,1.572377920E0,-9.629468918E-1,2.728137970E-1,1.863884763E0
5.109221960E-1,1.613502264E0,-9.367835522E-1,3.036880493E-1,1.890285537E0
5.159221960E-1,1.648533702E0,-8.604836464E-1,3.053541183E-1,1.884499034E0
5.209221960E-1,1.594907045E0,-7.987475395E-1,3.148145676E-1,1.811307353E0
5.259221960E-1,1.500282049E0,-7.683830261E-1,3.308629990E-1,1.717768618E0
5.309221960E-1,1.416931629E0,-7.613763809E-1,4.117050171E-1,1.660388586E0
5.359221960E-1,1.324414015E0,-6.751747131E-1,4.888916016E-1,1.564911619E0
5.409221960E-1,1.093915820E0,-4.047961235E-1,5.848302841E-1,1.304813467E0
5.459221960E-1,7.672464848E-1,-1.297807693E-1,6.085948944E-1,9.878754790E-1
5.509221960E-1,4.379705787E-1,6.612300873E-2,5.883798599E-1,7.364654368E-1
5.559221960E-1,1.773173213E-1,1.248121262E-1,4.937200546E-1,5.392392712E-1
5.609221960E-1,1.590639353E-2,1.294040680E-1,4.287834167E-1,4.481669830E-1
5.659221960E-1,-1.632714272E-2,1.058254242E-1,4.284086227E-1,4.415875270E-1
5.709221960E-1,-1.305758953E-3,8.694744110E-2,5.227241516E-1,5.299076346E-1
5.759221960E-1,7.056599855E-2,-5.757808685E-3,7.424058914E-1,7.457742421E-1
5.809221960E-1,2.947348356E-1,-9.853267670E-2,9.941101074E-1,1.041552791E0
5.859221960E-1,5.200373530E-1,-2.235426903E-1,1.151765823E0,1.283345119E0
5.909221960E-1,7.224493623E-1,-3.709497452E-1,1.154633522E0,1.411635705E0
5.959221960E-1,8.476520181E-1,-5.011196136E-1,1.049763680E0,1.439318795E0
6.009221960E-1,8.477554321E-1,-6.072568893E-1,7.680749893E-1,1.295140684E0
6.059221960E-1,7.096850276E-1,-6.585211754E-1,3.768634796E-1,1.038907628E0
6.109221960E-1,4.755190313E-1,-6.417593956E-1,-1.494407654E-2,7.988722028E-1
6.159221960E-1,1.521633565E-1,-5.823268890E-1,-3.113031387E-1,6.776193157E-1
6.209221960E-1,-2.223505974E-1,-5.419759750E-1,-4.543809891E-1,7.413769816E-1
6.259221960E-1,-6.049941778E-1,-5.586514473E-1,-4.830112457E-1,9.546775677E-1
6.309221960E-1,-1.088377237E0,-3.777599335E-1,-5.009956360E-1,1.256289857E0
6.359221960E-1,-1.510681868E0,-2.102141380E-1,-3.681688309E-1,1.569043650E0
6.409221960E-1,-1.802219629E0,-7.690572739E-2,-1.201028824E-1,1.807853640E0
6.459221960E-1,-1.949253678E0,-1.605367661E-2,1.350440979E-1,1.953991948E0
6.509221960E-1,-1.784094334E0,-1.554570198E-1,4.418087006E-1,1.844547208E0
6.559221960E-1,-1.728591561E0,-1.355295181E-1,1.276687622E0,2.153213487E0
